id;client;carte_no;status_code;status_lib;creation_date;country_code;kafka_topic;id_carte_status;env;kafka_message_key;kafka_key;kafka_timestamp;kafka_carte_key
1;Re-contextualized Cotton;Car Aruban Guilder;ROI;white silver impactful;2020-07-14;SR;Rustic Plastic Ball Money Market Account Borders;Principal Pants;invoice e-tailers Planner;paradigms Lempira Berkshire;calculate local area network;Camp product;compressing
2;overriding;parsing;Cambridgeshire violet Avon;unleash tan;2020-07-13;MN;Facilitator transmitting Generic Rubber Pants;real-time Indiana;Mountains;communities Jewelery;Brand;program payment Wooden;Intelligent Unbranded Plastic Ball
3;Salad;auxiliary PCI exuding;bi-directional XSS;National Oklahoma ROI;2020-07-13;HT;deposit;circuit programming Forward;Directives Lempira Lead;infrastructures Pants matrix;Surinam Dollar matrix;back-end Executive;bypassing optical
4;Synergized Central Computers;solution-oriented;synthesizing;overriding clicks-and-mortar bypassing;2020-07-13;CH;Licensed Steel Car system;Pizza;system Persistent;override platforms metrics;neural-net XML;Sleek SMTP Handcrafted Metal Sausages;24/365 Marketing
5;Bhutan Harbors Direct;frictionless Direct Steel;collaboration;synthesize;2020-07-14;ET;invoice Rand backing up;full-range standardization Group;Paradigm Designer;Advanced SQL Rubber;one-to-one Dobra;Ohio;Architect 1080p
6;payment;Intelligent Fresh Fish Island;Robust Incredible Steel Car Graphical User Interface;withdrawal Brazilian Real;2020-07-14;TZ;Ridges;Nevada Manager Czech Koruna;capacity;index Checking Account Garden;Savings Account deposit XSS;Interactions Implementation;ivory bottom-line bricks-and-clicks
7;directional Web bypassing;application Electronics;Chief SAS Brunei Dollar;infrastructures Junctions Montana;2020-07-14;VU;Toys database technologies;Granite;Advanced;Granite e-enable Rufiyaa;Colorado Avon;Ohio migration;bus Egypt
8;HTTP;Unbranded Handmade Rubber Bike;Fresh navigate Mission;District;2020-07-13;ID;Wooden;Connecticut;user-centric New York View;feed pixel Investor;North Carolina;Credit Card Account Borders invoice;Bacon
9;Applications Forward Avon;Yuan Renminbi systematic Dynamic;Ameliorated users;Tools Circle;2020-07-13;KE;Tennessee Steel input;Small Frozen Cheese;Global Computer;Sports Investment Account;Money Market Account;Drive Decentralized;COM Germany
10;Designer lime;Cameroon Handmade Granite Salad Borders;Borders;Gorgeous Plastic Sausages;2020-07-14;IL;B2C maximize;attitude ubiquitous Quetzal;JSON circuit;Wyoming well-modulated task-force;Investment Account navigating Music;Communications expedite;mindshare real-time
