id;code_filiale;designation_pays;end_point;status;date_cre;end_point_compte
1;mobile Fish;Home Loan Account Table Computer;Trace;false;2019-12-31T00:54:30;alarm
2;Tasty Metal Bacon;red Chips Soap;Home Loan Account;false;2019-12-31T04:58:06;intangible
3;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;false;2019-12-31T14:13:13;Credit Card Account Table Small Frozen Sausages
4;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;true;2019-12-31T14:30:35;Regional
5;Tuna;hardware Costa Rica Mayotte;Industrial;true;2019-12-30T20:43:55;Markets Chief
6;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;true;2019-12-31T06:46:23;mission-critical Faroe Islands Plastic
7;Car Industrial deliverables;orange Books;magenta monitor 1080p;true;2019-12-31T13:33:28;world-class Frozen IB
8;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;false;2019-12-31T12:27:53;bus synthesize Idaho
9;Networked Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;true;2019-12-30T17:33:13;Phased
10;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;false;2019-12-30T20:02:49;maroon
