id;client;idp;status_code;creation_date;country_code;kafka_topic;id_client_suspect;env;kafka_key;kafka_timestamp;kafka_client_key;status
1;Auto Loan Account Forward;generating;Representative Squares;2020-07-14;BI;methodology Multi-layered Refined Fresh Pizza;bypassing;Saint Helena Pound website;superstructure e-services Balboa US Dollar;Director Sports Pizza;synthesizing;Granite
2;Chair;Books navigate;Soap Lari Table;2020-07-14;GN;THX generating Frozen;Checking Account;Gorgeous Granite Bacon COM;generating;lime;cross-platform New Hampshire;Solutions Investment Account Montana
3;deposit;Investment Account deposit Music;redundant;2020-07-13;SZ;internet solution networks Awesome Metal Tuna;24/7 Automated;Investor Managed overriding;Metal tangible;Computers Meadow Awesome Rubber Cheese;Computer Consultant Computer;proactive
4;New Jersey Concrete Plastic;methodical payment alarm;Money Market Account;2020-07-14;RE;Operations Estate;Industrial auxiliary withdrawal;wireless;Seychelles Rupee deposit;Group ADP;Principal Games Principal;Usability recontextualize Architect
5;Cayman Islands Incredible Wooden Chips Mexican Peso Mexican Unidad de Inversion (UDI);Central calculating;RSS Awesome Concrete Keyboard Sausages;2020-07-14;RO;implementation;Intelligent Plastic Pants Assistant framework;4th generation;reinvent;proactive overriding;Moroccan Dirham Awesome;networks payment
6;syndicate;Sudanese Pound high-level Hat;mobile;2020-07-14;MO;collaborative;Greens Fiji web services;Practical Sleek Frozen Ball zero administration;web-enabled;open-source Forward;Liaison Niue;Fully-configurable budgetary management Gorgeous
7;Expanded Flat synergies;payment incubate Grenada;Western Sahara Avon Rue;2020-07-13;DO;Generic engineer bottom-line;indexing microchip Savings Account;Future-proofed Self-enabling fuchsia;clear-thinking microchip world-class;GB;Handcrafted;Data
8;THX Gorgeous channels;Knoll;Facilitator Handmade Plastic Mouse deposit;2020-07-14;AZ;bifurcated Granite;Designer Virgin Islands, U.S. Practical;Decentralized Liberian Dollar;Principal Berkshire;Liaison port RAM;Rubber;Grocery invoice
9;Village e-services;HDD models;synthesizing Fresh;2020-07-13;TM;Supervisor;knowledge user Hat;Zambian Kwacha;Borders complexity;invoice partnerships multi-byte;Gorgeous Frozen Mouse;Manager AI input
10;analyzer Persevering Synergistic;navigate;online;2020-07-14;LS;empowering Bacon olive;Avon;haptic;Human;calculating Hill deposit;online Cheese;Intelligent Fresh Shoes
